net.optimized_memory = 0 
mini_batch = 1, batch = 16, time_steps = 1, train = 0 

 seen 64, trained: 32013 K-images (500 Kilo-batches_64) 
Enter Image Path: data/obj/img/frame169.png: Predicted in 60.413000 milli-seconds.
Enter Image Path: data/obj/img/frame17.png: Predicted in 59.982000 milli-seconds.
Enter Image Path: data/obj/img/frame170.png: Predicted in 60.144000 milli-seconds.
Enter Image Path: data/obj/img/frame171.png: Predicted in 60.213000 milli-seconds.
Enter Image Path: data/obj/img/frame172.png: Predicted in 60.162000 milli-seconds.
Enter Image Path: data/obj/img/frame173.png: Predicted in 59.927000 milli-seconds.
Enter Image Path: data/obj/img/frame174.png: Predicted in 60.078000 milli-seconds.
Enter Image Path: data/obj/img/frame175.png: Predicted in 60.280000 milli-seconds.
Enter Image Path: data/obj/img/frame176.png: Predicted in 59.771000 milli-seconds.
Enter Image Path: data/obj/img/frame177.png: Predicted in 60.104000 milli-seconds.
Enter Image Path: data/obj/img/frame178.png: Predicted in 60.223000 milli-seconds.
Enter Image Path: data/obj/img/frame179.png: Predicted in 60.575000 milli-seconds.
Enter Image Path: data/obj/img/frame18.png: Predicted in 60.263000 milli-seconds.
Enter Image Path: data/obj/img/frame180.png: Predicted in 60.189000 milli-seconds.
Enter Image Path: data/obj/img/frame181.png: Predicted in 60.374000 milli-seconds.
Enter Image Path: data/obj/img/frame182.png: Predicted in 60.126000 milli-seconds.
Enter Image Path: data/obj/img/frame183.png: Predicted in 60.307000 milli-seconds.
Enter Image Path: data/obj/img/frame184.png: Predicted in 60.080000 milli-seconds.
Enter Image Path: data/obj/img/frame185.png: Predicted in 59.887000 milli-seconds.
Enter Image Path: data/obj/img/frame186.png: Predicted in 59.667000 milli-seconds.
Enter Image Path: data/obj/img/frame187.png: Predicted in 60.049000 milli-seconds.
Enter Image Path: data/obj/img/frame188.png: Predicted in 60.351000 milli-seconds.
Enter Image Path: data/obj/img/frame189.png: Predicted in 61.203000 milli-seconds.
Enter Image Path: data/obj/img/frame19.png: Predicted in 61.088000 milli-seconds.
Enter Image Path: data/obj/img/frame190.png: Predicted in 60.201000 milli-seconds.
Enter Image Path: data/obj/img/frame191.png: Predicted in 60.341000 milli-seconds.
Enter Image Path: data/obj/img/frame192.png: Predicted in 60.362000 milli-seconds.
Enter Image Path: data/obj/img/frame193.png: Predicted in 59.786000 milli-seconds.
Enter Image Path: data/obj/img/frame194.png: Predicted in 60.167000 milli-seconds.
Enter Image Path: data/obj/img/frame195.png: Predicted in 60.191000 milli-seconds.
Enter Image Path: data/obj/img/frame196.png: Predicted in 59.713000 milli-seconds.
Enter Image Path: data/obj/img/frame197.png: Predicted in 60.342000 milli-seconds.
Enter Image Path: data/obj/img/frame198.png: Predicted in 61.420000 milli-seconds.
Enter Image Path: data/obj/img/frame199.png: Predicted in 62.431000 milli-seconds.
Enter Image Path: data/obj/img/frame2.png: Predicted in 62.465000 milli-seconds.
Enter Image Path: data/obj/img/frame20.png: Predicted in 59.987000 milli-seconds.
Enter Image Path: data/obj/img/frame200.png: Predicted in 60.146000 milli-seconds.
Enter Image Path: data/obj/img/frame201.png: Predicted in 60.253000 milli-seconds.
Enter Image Path: data/obj/img/frame202.png: Predicted in 59.881000 milli-seconds.
Enter Image Path: data/obj/img/frame203.png: Predicted in 60.154000 milli-seconds.
Enter Image Path: data/obj/img/frame204.png: Predicted in 60.320000 milli-seconds.
Enter Image Path: data/obj/img/frame205.png: Predicted in 60.163000 milli-seconds.
Enter Image Path: data/obj/img/frame206.png: Predicted in 60.338000 milli-seconds.
Enter Image Path: data/obj/img/frame207.png: Predicted in 59.923000 milli-seconds.
Enter Image Path: data/obj/img/frame208.png: Predicted in 60.064000 milli-seconds.
Enter Image Path: data/obj/img/frame209.png: Predicted in 60.214000 milli-seconds.
Enter Image Path: data/obj/img/frame21.png: Predicted in 59.989000 milli-seconds.
Enter Image Path: data/obj/img/frame210.png: Predicted in 60.218000 milli-seconds.
Enter Image Path: data/obj/img/frame211.png: Predicted in 60.042000 milli-seconds.
Enter Image Path: data/obj/img/frame212.png: Predicted in 60.226000 milli-seconds.
Enter Image Path: data/obj/img/frame213.png: Predicted in 60.338000 milli-seconds.
Enter Image Path: data/obj/img/frame214.png: Predicted in 59.937000 milli-seconds.
Enter Image Path: data/obj/img/frame215.png: Predicted in 60.064000 milli-seconds.
Enter Image Path: data/obj/img/frame216.png: Predicted in 60.400000 milli-seconds.
